date,amount,vendor,description,department,category,created_at
2024-10-18,1532.75,Legal Services Inc,Legal consultation,HR,Professional Services,2025-07-09 11:25:08
2024-09-19,383.45,Business Services Inc,General business cost,Finance,Other,2025-07-09 11:25:08
2024-12-15,449.52,IKEA Business,Desk supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-03-05,312.22,Waste Management,Phone service,Marketing,Utilities,2025-07-09 11:25:08
2024-07-28,790.05,Delta Airlines,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-01-08,270.69,ConEd,Internet service,HR,Utilities,2025-07-09 11:25:08
2024-09-28,139.02,Best Buy Business,Desk supplies,Finance,Office Supplies,2025-07-09 11:25:08
2024-08-23,515.78,Waste Management,Monthly utilities,HR,Utilities,2025-07-09 11:25:08
2025-04-11,445.6,Business Services Inc,General business cost,Sales,Other,2025-07-09 11:25:08
2024-11-22,3970.92,McKinsey,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2024-12-19,2928.4,Slack,Cloud hosting costs,Finance,IT Infrastructure,2025-07-09 11:25:08
2024-07-31,2795.49,Cisco Systems,Computer equipment,Sales,Equipment,2025-07-09 11:25:08
2024-10-31,3653.91,Smith & Associates,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2024-11-12,4479.12,LinkedIn Marketing,Ad campaign,Engineering,Marketing,2025-07-09 11:25:08
2024-09-18,3142.24,Canva,Ad campaign,Sales,Marketing,2025-07-09 11:25:08
2025-01-25,723.05,Hilton,Business trip,Executive,Travel,2025-07-09 11:25:08
2024-10-02,355.17,Office Depot,Office materials,Sales,Office Supplies,2025-07-09 11:25:08
2024-11-05,307.49,Home Depot,Desk supplies,Marketing,Office Supplies,2025-07-09 11:25:08
2024-11-17,462.14,Miscellaneous Vendor,Miscellaneous expense,Engineering,Other,2025-07-09 11:25:08
2025-03-01,345.97,Zoom,Cloud hosting costs,Operations,IT Infrastructure,2025-07-09 11:25:08
2025-03-31,1166.09,Marriott Hotels,Business trip,Operations,Travel,2025-07-09 11:25:08
2024-07-25,2325.87,United Airlines,Conference travel,Marketing,Travel,2025-07-09 11:25:08
2025-01-03,446.09,Home Depot,Meeting room supplies,Executive,Office Supplies,2025-07-09 11:25:08
2025-01-09,851.7,Comcast Business,Internet service,Executive,Utilities,2025-07-09 11:25:08
2024-09-06,1280.72,ConEd,Phone service,HR,Utilities,2025-07-09 11:25:08
2025-05-11,4674.37,Salesforce,Ad campaign,HR,Marketing,2025-07-09 11:25:08
2024-12-08,3513.97,Cisco Systems,Office furniture,Sales,Equipment,2025-07-09 11:25:08
2024-12-21,3098.59,HubSpot,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-12-10,2324.78,Enterprise Rent-A-Car,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-05-08,159.96,Home Depot,Meeting room supplies,Sales,Office Supplies,2025-07-09 11:25:08
2024-08-28,5580.43,KPMG,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2024-10-23,7109.67,Workday,Employee benefits,Operations,Personnel,2025-07-09 11:25:08
2025-04-29,4995.75,KPMG,Business consulting,Engineering,Professional Services,2025-07-09 11:25:08
2025-06-10,6353.32,Legal Services Inc,Business consulting,HR,Professional Services,2025-07-09 11:25:08
2024-09-24,1188.91,Expedia,Client meeting travel,Operations,Travel,2025-07-09 11:25:08
2025-03-15,3367.66,HP Enterprise,Software/hardware,Marketing,Equipment,2025-07-09 11:25:08
2025-06-11,166.4,Business Services Inc,Miscellaneous expense,Sales,Other,2025-07-09 11:25:08
2024-10-11,3955.0,Canva,Content creation,HR,Marketing,2025-07-09 11:25:08
2025-02-28,350.89,Conference Registration,Conference registration,Executive,Training,2025-07-09 11:25:08
2024-11-08,668.22,IKEA Business,Meeting room supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2025-02-15,790.79,AT&T Business,Phone service,Engineering,Utilities,2025-07-09 11:25:08
2024-11-18,2821.32,Mailchimp,Ad campaign,Operations,Marketing,2025-07-09 11:25:08
2025-01-16,8692.0,Apple Business,Software/hardware,HR,Equipment,2025-07-09 11:25:08
2025-02-24,2052.51,Legal Services Inc,Business consulting,Executive,Professional Services,2025-07-09 11:25:08
2024-11-01,1375.28,Verizon Business,Internet service,HR,Utilities,2025-07-09 11:25:08
2025-01-21,776.48,Airbnb,Client meeting travel,Marketing,Travel,2025-07-09 11:25:08
2024-10-08,4168.12,Canon Business,Computer equipment,Operations,Equipment,2025-07-09 11:25:08
2025-07-07,1184.09,AWS Training,Online course,Executive,Training,2025-07-09 11:25:08
2024-12-08,1044.35,Atlassian,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2025-07-08,614.66,Hootsuite,Ad campaign,Operations,Marketing,2025-07-09 11:25:08
2024-08-26,2431.23,JetBrains,API usage fees,Operations,IT Infrastructure,2025-07-09 11:25:08
2024-10-31,4635.67,PwC,Business consulting,Sales,Professional Services,2025-07-09 11:25:08
2024-08-01,3952.87,Facebook Ads,Content creation,Finance,Marketing,2025-07-09 11:25:08
2025-02-18,6817.17,Smith & Associates,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2024-07-16,7038.56,Deloitte Consulting,Accounting services,Finance,Professional Services,2025-07-09 11:25:08
2025-06-08,2680.2,DigitalOcean,API usage fees,Engineering,IT Infrastructure,2025-07-09 11:25:08
2025-01-07,14475.85,BambooHR,Employee benefits,Operations,Personnel,2025-07-09 11:25:08
2025-04-14,2589.36,Apple Business,Computer equipment,Finance,Equipment,2025-07-09 11:25:08
2024-07-21,615.38,Home Depot,Office materials,Executive,Office Supplies,2025-07-09 11:25:08
2024-10-25,1475.66,Verizon Business,Phone service,Marketing,Utilities,2025-07-09 11:25:08
2024-11-07,4284.42,Indeed Hiring,Recruitment fees,Executive,Personnel,2025-07-09 11:25:08
2025-06-28,11032.67,ADP Payroll,Recruitment fees,Operations,Personnel,2025-07-09 11:25:08
2025-03-27,2556.63,Wilson Law Firm,Business consulting,Operations,Professional Services,2025-07-09 11:25:08
2025-03-27,1143.11,Enterprise Rent-A-Car,Conference travel,Engineering,Travel,2025-07-09 11:25:08
2024-10-13,561.32,Pacific Gas & Electric,Phone service,Finance,Utilities,2025-07-09 11:25:08
2025-03-12,952.01,AT&T Business,Monthly utilities,Executive,Utilities,2025-07-09 11:25:08
2025-04-05,1707.1,Enterprise Rent-A-Car,Business trip,Executive,Travel,2025-07-09 11:25:08
2024-12-03,1803.89,Miscellaneous Vendor,General business cost,Engineering,Other,2025-07-09 11:25:08
2025-04-08,2013.23,Uber,Business trip,HR,Travel,2025-07-09 11:25:08
2025-03-25,4067.71,Hilton,Business trip,Operations,Travel,2025-07-09 11:25:08
2024-08-21,304.05,Costco Business,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2024-12-26,179.91,Costco Business,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-03-19,2683.45,Legal Services Inc,Legal consultation,Executive,Professional Services,2025-07-09 11:25:08
2024-09-14,195.8,Home Depot,Desk supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2024-07-20,504.04,Amazon Business,Meeting room supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2025-04-01,2608.29,DigitalOcean,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2025-02-09,690.94,Staples,Desk supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-04-06,2024.73,Uber,Business trip,Marketing,Travel,2025-07-09 11:25:08
2025-06-27,319.72,AT&T Business,Internet service,Operations,Utilities,2025-07-09 11:25:08
2025-06-06,559.94,Miscellaneous Vendor,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-06-25,515.59,Waste Management,Monthly utilities,Marketing,Utilities,2025-07-09 11:25:08
2025-07-02,1314.91,JetBrains,Software licenses,Executive,IT Infrastructure,2025-07-09 11:25:08
2025-04-06,1198.79,Deloitte Consulting,Business consulting,Engineering,Professional Services,2025-07-09 11:25:08
2025-03-07,2941.41,Google Cloud,API usage fees,Finance,IT Infrastructure,2025-07-09 11:25:08
2024-10-15,518.32,Cisco Systems,Computer equipment,Finance,Equipment,2025-07-09 11:25:08
2024-12-25,5067.17,Wilson Law Firm,Business consulting,HR,Professional Services,2025-07-09 11:25:08
2025-06-03,625.31,General Supplies Co,Miscellaneous expense,HR,Other,2025-07-09 11:25:08
2025-03-31,1608.64,Slack,Cloud hosting costs,Finance,IT Infrastructure,2025-07-09 11:25:08
2025-05-04,671.27,Pluralsight,Professional certification,Sales,Training,2025-07-09 11:25:08
2024-08-18,137.76,Amazon Business,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-04-01,327.6,Business Services Inc,Miscellaneous expense,Executive,Other,2025-07-09 11:25:08
2024-11-29,5361.96,Wilson Law Firm,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2024-12-20,2125.12,Heroku,Software licenses,Operations,IT Infrastructure,2025-07-09 11:25:08
2025-04-19,3138.43,ADP Payroll,Recruitment fees,Marketing,Personnel,2025-07-09 11:25:08
2025-02-11,2998.67,Google Cloud,Software licenses,Operations,IT Infrastructure,2025-07-09 11:25:08
2024-08-03,836.85,Verizon Business,Phone service,Executive,Utilities,2025-07-09 11:25:08
2024-09-15,1164.21,Udemy Business,Online course,HR,Training,2025-07-09 11:25:08
2025-01-10,20679.14,Indeed Hiring,Employee benefits,Operations,Personnel,2025-07-09 11:25:08
2025-05-31,523.84,Pacific Gas & Electric,Internet service,Sales,Utilities,2025-07-09 11:25:08
2025-05-03,2447.2,Canva,Ad campaign,Engineering,Marketing,2025-07-09 11:25:08
2025-04-12,7389.84,EY,Accounting services,Marketing,Professional Services,2025-07-09 11:25:08
2025-01-22,4266.77,NetGear,Computer equipment,Engineering,Equipment,2025-07-09 11:25:08
2024-09-02,3864.4,Mailchimp,Ad campaign,Engineering,Marketing,2025-07-09 11:25:08
2024-11-15,1087.99,Salesforce,Content creation,Marketing,Marketing,2025-07-09 11:25:08
2024-10-02,649.16,IKEA Business,Office materials,Finance,Office Supplies,2025-07-09 11:25:08
2025-04-10,259.85,General Supplies Co,Miscellaneous expense,Engineering,Other,2025-07-09 11:25:08
2024-09-09,1150.0,ConEd,Internet service,Engineering,Utilities,2025-07-09 11:25:08
2025-02-01,663.07,Miscellaneous Vendor,Miscellaneous expense,Sales,Other,2025-07-09 11:25:08
2024-12-02,792.4,Home Depot,Desk supplies,HR,Office Supplies,2025-07-09 11:25:08
2024-09-29,7670.09,McKinsey,Business consulting,Sales,Professional Services,2025-07-09 11:25:08
2024-09-04,10303.28,LinkedIn Recruiter,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2025-05-15,1330.78,Pluralsight,Online course,Marketing,Training,2025-07-09 11:25:08
2024-11-22,4554.48,NetGear,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2025-01-06,845.17,Zoom,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2025-04-14,12472.52,Gusto,Contractor payment,Operations,Personnel,2025-07-09 11:25:08
2025-06-03,24143.79,KPMG,Business consulting,HR,Professional Services,2025-07-09 11:25:08
2024-08-26,670.38,Miscellaneous Vendor,General business cost,Engineering,Other,2025-07-09 11:25:08
2025-01-11,1599.74,Uber,Conference travel,Engineering,Travel,2025-07-09 11:25:08
2025-04-13,1299.36,AT&T Business,Monthly utilities,Finance,Utilities,2025-07-09 11:25:08
2025-02-11,1122.6,Marriott Hotels,Conference travel,Engineering,Travel,2025-07-09 11:25:08
2025-03-21,599.39,Costco Business,Office materials,Finance,Office Supplies,2025-07-09 11:25:08
2025-07-05,1115.31,DigitalOcean,API usage fees,Marketing,IT Infrastructure,2025-07-09 11:25:08
2025-07-05,1818.41,Coursera Business,Conference registration,Sales,Training,2025-07-09 11:25:08
2025-01-06,2492.77,Docker,Software licenses,HR,IT Infrastructure,2025-07-09 11:25:08
2025-01-20,2768.53,McKinsey,Business consulting,HR,Professional Services,2025-07-09 11:25:08
2025-05-18,411.68,United Airlines,Business trip,Operations,Travel,2025-07-09 11:25:08
2025-06-10,3731.85,Gusto,Contractor payment,Marketing,Personnel,2025-07-09 11:25:08
2024-09-07,2550.65,NetGear,Computer equipment,Sales,Equipment,2025-07-09 11:25:08
2024-12-14,74.56,IKEA Business,Meeting room supplies,Executive,Office Supplies,2025-07-09 11:25:08
2024-09-11,3572.35,NetGear,Office furniture,Marketing,Equipment,2025-07-09 11:25:08
2024-08-25,1337.82,Airbnb,Client meeting travel,HR,Travel,2025-07-09 11:25:08
2025-04-23,869.14,General Supplies Co,General business cost,Marketing,Other,2025-07-09 11:25:08
2024-11-05,3103.9,Apple Business,Office furniture,HR,Equipment,2025-07-09 11:25:08
2024-07-21,1367.34,Apple Business,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2025-05-26,690.15,Staples,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2024-09-09,2265.89,LinkedIn Marketing,Ad campaign,Engineering,Marketing,2025-07-09 11:25:08
2025-04-03,2305.04,Google Cloud,Cloud hosting costs,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-10-18,1252.1,LinkedIn Learning,Online course,Finance,Training,2025-07-09 11:25:08
2025-03-25,444.67,Pacific Gas & Electric,Monthly utilities,HR,Utilities,2025-07-09 11:25:08
2025-04-06,3847.29,Hootsuite,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-11-02,14410.65,ADP Payroll,Contractor payment,Executive,Personnel,2025-07-09 11:25:08
2024-10-04,970.9,Miscellaneous Vendor,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-04-01,3119.23,LinkedIn Recruiter,Employee benefits,Operations,Personnel,2025-07-09 11:25:08
2025-05-18,3421.48,Paychex,Contractor payment,Operations,Personnel,2025-07-09 11:25:08
2024-12-31,1334.31,Waste Management,Internet service,Finance,Utilities,2025-07-09 11:25:08
2025-02-25,962.57,Pluralsight,Professional certification,Engineering,Training,2025-07-09 11:25:08
2025-05-15,1382.15,Heroku,Software licenses,Finance,IT Infrastructure,2025-07-09 11:25:08
2025-06-17,3869.69,BambooHR,Contractor payment,Executive,Personnel,2025-07-09 11:25:08
2025-03-09,1020.64,NetGear,Software/hardware,Marketing,Equipment,2025-07-09 11:25:08
2025-01-21,890.24,General Supplies Co,Miscellaneous expense,Operations,Other,2025-07-09 11:25:08
2025-02-26,573.27,Adobe Creative,Content creation,Sales,Marketing,2025-07-09 11:25:08
2024-09-01,8400.23,Indeed Hiring,Contractor payment,Finance,Personnel,2025-07-09 11:25:08
2025-06-16,2096.19,Enterprise Rent-A-Car,Conference travel,Sales,Travel,2025-07-09 11:25:08
2025-03-08,726.52,General Supplies Co,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-01-20,1124.95,Comcast Business,Monthly utilities,Operations,Utilities,2025-07-09 11:25:08
2024-11-21,993.96,General Supplies Co,Miscellaneous expense,Operations,Other,2025-07-09 11:25:08
2025-07-07,7610.12,Microsoft Azure,API usage fees,Sales,IT Infrastructure,2025-07-09 11:25:08
2025-04-22,468.68,United Airlines,Client meeting travel,Executive,Travel,2025-07-09 11:25:08
2024-08-22,233.91,Office Depot,Desk supplies,Operations,Office Supplies,2025-07-09 11:25:08
2024-10-11,544.38,Amazon Business,Desk supplies,Executive,Office Supplies,2025-07-09 11:25:08
2024-09-03,639.41,Staples,Desk supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-04-26,2815.94,Slack,Software licenses,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-10-07,4975.61,EY,Legal consultation,Engineering,Professional Services,2025-07-09 11:25:08
2025-06-25,426.53,Home Depot,Desk supplies,Marketing,Office Supplies,2025-07-09 11:25:08
2025-03-19,3431.79,Xerox,Software/hardware,HR,Equipment,2025-07-09 11:25:08
2025-06-22,6055.63,McKinsey,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2024-10-22,1405.67,Enterprise Rent-A-Car,Business trip,Operations,Travel,2025-07-09 11:25:08
2025-01-08,2135.21,Enterprise Rent-A-Car,Client meeting travel,Finance,Travel,2025-07-09 11:25:08
2024-10-18,13748.08,Indeed Hiring,Employee benefits,HR,Personnel,2025-07-09 11:25:08
2024-11-01,3425.76,Deloitte Consulting,Legal consultation,Finance,Professional Services,2025-07-09 11:25:08
2024-09-03,4196.46,LinkedIn Marketing,Marketing tools subscription,Sales,Marketing,2025-07-09 11:25:08
2024-10-08,5166.62,Gusto,Employee benefits,Finance,Personnel,2025-07-09 11:25:08
2025-02-15,206.9,Best Buy Business,Desk supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-04-25,2372.98,JetBrains,Cloud hosting costs,Executive,IT Infrastructure,2025-07-09 11:25:08
2025-05-21,2874.8,ConEd,Phone service,Sales,Utilities,2025-07-09 11:25:08
2024-09-01,11233.91,Indeed Hiring,Recruitment fees,Executive,Personnel,2025-07-09 11:25:08
2025-05-17,1421.39,NetGear,Computer equipment,Operations,Equipment,2025-07-09 11:25:08
2024-07-22,14838.88,LinkedIn Marketing,Content creation,Finance,Marketing,2025-07-09 11:25:08
2025-02-14,402.65,Costco Business,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2024-09-10,7940.12,McKinsey,Legal consultation,Finance,Professional Services,2025-07-09 11:25:08
2025-05-01,2414.25,Uber,Business trip,HR,Travel,2025-07-09 11:25:08
2025-03-23,94.4,Best Buy Business,Desk supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2024-07-21,1042.81,Slack,Software licenses,Marketing,IT Infrastructure,2025-07-09 11:25:08
2024-10-15,494.2,Slack,Software licenses,Engineering,IT Infrastructure,2025-07-09 11:25:08
2024-08-21,4971.09,Workday,Employee benefits,Marketing,Personnel,2025-07-09 11:25:08
2024-12-17,612.37,Costco Business,Desk supplies,Operations,Office Supplies,2025-07-09 11:25:08
2024-09-03,6452.94,McKinsey,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2024-08-11,2033.08,Canva,Marketing tools subscription,Sales,Marketing,2025-07-09 11:25:08
2025-05-27,121.74,General Supplies Co,Miscellaneous expense,HR,Other,2025-07-09 11:25:08
2025-06-10,135.64,Home Depot,Office materials,Operations,Office Supplies,2025-07-09 11:25:08
2024-07-24,1094.77,Hootsuite,Content creation,Sales,Marketing,2025-07-09 11:25:08
2024-12-25,4791.19,HP Enterprise,Software/hardware,Executive,Equipment,2025-07-09 11:25:08
2024-07-20,247.91,IKEA Business,Meeting room supplies,Executive,Office Supplies,2025-07-09 11:25:08
2024-11-12,486.62,O'Reilly Media,Online course,HR,Training,2025-07-09 11:25:08
2025-01-01,778.94,Cisco Systems,Computer equipment,Finance,Equipment,2025-07-09 11:25:08
2024-08-22,1303.9,Zoom,API usage fees,Finance,IT Infrastructure,2025-07-09 11:25:08
2024-11-08,1322.56,Waste Management,Internet service,Marketing,Utilities,2025-07-09 11:25:08
2025-03-28,4292.23,Canon Business,Software/hardware,HR,Equipment,2025-07-09 11:25:08
2024-12-29,296.17,Office Depot,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-01-29,1121.24,HubSpot,Marketing tools subscription,Marketing,Marketing,2025-07-09 11:25:08
2025-05-07,4549.47,Legal Services Inc,Legal consultation,Marketing,Professional Services,2025-07-09 11:25:08
2025-02-17,14604.23,Glassdoor,Contractor payment,HR,Personnel,2025-07-09 11:25:08
2025-03-22,2623.56,Microsoft Azure,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2024-07-20,1739.37,Canon Business,Office furniture,Engineering,Equipment,2025-07-09 11:25:08
2024-09-07,2091.54,Airbnb,Conference travel,Marketing,Travel,2025-07-09 11:25:08
2025-04-03,798.37,IKEA Business,Office materials,Sales,Office Supplies,2025-07-09 11:25:08
2024-09-29,2202.78,Uber,Client meeting travel,HR,Travel,2025-07-09 11:25:08
2024-10-14,1010.23,KPMG,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2025-04-22,1788.88,Conference Registration,Professional certification,Executive,Training,2025-07-09 11:25:08
2024-12-18,1729.43,Udemy Business,Conference registration,Operations,Training,2025-07-09 11:25:08
2024-10-20,907.94,Pacific Gas & Electric,Phone service,Engineering,Utilities,2025-07-09 11:25:08
2024-10-27,7818.48,ADP Payroll,Recruitment fees,HR,Personnel,2025-07-09 11:25:08
2025-04-24,1745.47,Hilton,Business trip,Sales,Travel,2025-07-09 11:25:08
2025-01-09,565.84,AT&T Business,Internet service,Marketing,Utilities,2025-07-09 11:25:08
2025-01-15,624.49,AWS Training,Conference registration,Operations,Training,2025-07-09 11:25:08
2024-12-22,759.1,General Supplies Co,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-03-29,2298.15,Hilton,Business trip,Operations,Travel,2025-07-09 11:25:08
2025-05-16,265.41,Costco Business,Office materials,Sales,Office Supplies,2025-07-09 11:25:08
2024-09-22,7862.92,Deloitte Consulting,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2025-06-21,1959.79,Xerox,Software/hardware,Marketing,Equipment,2025-07-09 11:25:08
2025-05-17,344.29,ConEd,Internet service,Sales,Utilities,2025-07-09 11:25:08
2024-10-19,710.94,Pacific Gas & Electric,Internet service,HR,Utilities,2025-07-09 11:25:08
2025-04-10,5093.56,Microsoft Azure,Cloud hosting costs,HR,IT Infrastructure,2025-07-09 11:25:08
2024-08-04,592.45,Pluralsight,Professional certification,Executive,Training,2025-07-09 11:25:08
2024-09-06,753.21,Hootsuite,Marketing tools subscription,HR,Marketing,2025-07-09 11:25:08
2024-12-27,4158.49,Hootsuite,Ad campaign,Marketing,Marketing,2025-07-09 11:25:08
2024-09-16,10081.89,Gusto,Contractor payment,Sales,Personnel,2025-07-09 11:25:08
2025-06-02,994.47,Miscellaneous Vendor,Miscellaneous expense,Executive,Other,2025-07-09 11:25:08
2024-08-30,652.83,ConEd,Monthly utilities,Marketing,Utilities,2025-07-09 11:25:08
2024-12-14,1468.76,Zoom,Cloud hosting costs,Operations,IT Infrastructure,2025-07-09 11:25:08
2024-10-09,917.94,Pacific Gas & Electric,Monthly utilities,Marketing,Utilities,2025-07-09 11:25:08
2024-08-22,1950.92,GitHub,Software licenses,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-12-16,1194.24,Udemy Business,Online course,Finance,Training,2025-07-09 11:25:08
2025-02-03,259.05,Docker,API usage fees,Operations,IT Infrastructure,2025-07-09 11:25:08
2025-03-10,1120.49,Udemy Business,Professional certification,Executive,Training,2025-07-09 11:25:08
2025-06-22,993.24,HP Enterprise,Computer equipment,Engineering,Equipment,2025-07-09 11:25:08
2025-05-23,254.24,Zoom,Software licenses,Operations,IT Infrastructure,2025-07-09 11:25:08
2024-09-14,10840.45,Indeed Hiring,Recruitment fees,Sales,Personnel,2025-07-09 11:25:08
2024-08-14,1674.5,Zoom,Software licenses,HR,IT Infrastructure,2025-07-09 11:25:08
2024-07-30,1550.85,Google Ads,Marketing tools subscription,Sales,Marketing,2025-07-09 11:25:08
2025-03-05,4441.31,Dell Business,Software/hardware,Executive,Equipment,2025-07-09 11:25:08
2025-01-01,3042.35,HubSpot,Content creation,Operations,Marketing,2025-07-09 11:25:08
2025-03-27,467.28,Business Services Inc,Miscellaneous expense,Executive,Other,2025-07-09 11:25:08
2025-01-04,930.36,Miscellaneous Vendor,General business cost,Executive,Other,2025-07-09 11:25:08
2025-05-19,1376.71,Enterprise Rent-A-Car,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-01-02,1189.93,Verizon Business,Phone service,Sales,Utilities,2025-07-09 11:25:08
2024-11-29,793.42,Comcast Business,Internet service,Operations,Utilities,2025-07-09 11:25:08
2024-07-14,7060.33,Lyft,Business trip,Sales,Travel,2025-07-09 11:25:08
2025-02-20,745.77,Amazon Business,Desk supplies,Marketing,Office Supplies,2025-07-09 11:25:08
2025-07-01,824.35,NetGear,Office furniture,Marketing,Equipment,2025-07-09 11:25:08
2025-02-20,870.12,Pacific Gas & Electric,Phone service,Engineering,Utilities,2025-07-09 11:25:08
2025-01-19,475.33,Staples,Office materials,Executive,Office Supplies,2025-07-09 11:25:08
2024-11-07,2650.48,Hootsuite,Ad campaign,Sales,Marketing,2025-07-09 11:25:08
2025-06-06,7572.2,EY,Legal consultation,Operations,Professional Services,2025-07-09 11:25:08
2024-12-19,650.57,Costco Business,Office materials,Finance,Office Supplies,2025-07-09 11:25:08
2024-10-05,821.03,Miscellaneous Vendor,General business cost,Engineering,Other,2025-07-09 11:25:08
2025-04-03,549.38,Business Services Inc,General business cost,Marketing,Other,2025-07-09 11:25:08
2024-09-01,804.38,General Supplies Co,Miscellaneous expense,Operations,Other,2025-07-09 11:25:08
2025-04-17,494.88,Verizon Business,Phone service,Operations,Utilities,2025-07-09 11:25:08
2024-09-09,502.66,Verizon Business,Phone service,Marketing,Utilities,2025-07-09 11:25:08
2025-07-02,525.02,Comcast Business,Phone service,Executive,Utilities,2025-07-09 11:25:08
2025-07-04,1861.53,Hootsuite,Marketing tools subscription,HR,Marketing,2025-07-09 11:25:08
2024-07-16,14656.04,Gusto,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-10-11,10664.97,Gusto,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-11-08,3303.18,Expedia,Business trip,Finance,Travel,2025-07-09 11:25:08
2024-08-17,1904.11,Udemy Business,Professional certification,HR,Training,2025-07-09 11:25:08
2024-10-25,4541.86,BambooHR,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-09-11,1484.98,HubSpot,Marketing tools subscription,Executive,Marketing,2025-07-09 11:25:08
2024-08-11,639.21,Udemy Business,Professional certification,Executive,Training,2025-07-09 11:25:08
2025-02-01,886.3,Canva,Marketing tools subscription,Marketing,Marketing,2025-07-09 11:25:08
2025-03-15,395.99,Costco Business,Desk supplies,Executive,Office Supplies,2025-07-09 11:25:08
2025-03-09,4205.95,Xerox,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2024-10-29,698.03,Uber,Client meeting travel,Sales,Travel,2025-07-09 11:25:08
2025-01-10,289.86,AT&T Business,Phone service,Sales,Utilities,2025-07-09 11:25:08
2025-03-15,1753.33,Microsoft Azure,Software licenses,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-09-13,1710.35,Facebook Ads,Marketing tools subscription,Operations,Marketing,2025-07-09 11:25:08
2025-04-10,7718.3,Glassdoor,Recruitment fees,Marketing,Personnel,2025-07-09 11:25:08
2024-09-07,7298.61,Deloitte Consulting,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2024-08-26,245.69,DigitalOcean,Cloud hosting costs,Engineering,IT Infrastructure,2025-07-09 11:25:08
2025-01-17,1221.66,Expedia,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-02-22,287.71,Atlassian,Cloud hosting costs,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-08-17,565.05,ConEd,Monthly utilities,Engineering,Utilities,2025-07-09 11:25:08
2024-10-31,904.5,Lenovo,Software/hardware,Engineering,Equipment,2025-07-09 11:25:08
2025-06-26,4059.99,HP Enterprise,Office furniture,Finance,Equipment,2025-07-09 11:25:08
2025-02-10,4718.95,Apple Business,Software/hardware,Executive,Equipment,2025-07-09 11:25:08
2025-03-13,4051.49,Lenovo,Computer equipment,Operations,Equipment,2025-07-09 11:25:08
2024-08-20,10679.37,Adobe Creative,Content creation,Engineering,Marketing,2025-07-09 11:25:08
2024-12-01,1241.62,Mailchimp,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-09-07,4057.29,Canva,Ad campaign,Operations,Marketing,2025-07-09 11:25:08
2025-01-29,1902.62,Legal Services Inc,Business consulting,Operations,Professional Services,2025-07-09 11:25:08
2025-03-15,1090.39,Verizon Business,Phone service,Operations,Utilities,2025-07-09 11:25:08
